event_ID,name,description,date,time,postponed,cancelled,organiser_ID,community_ID
1,Polarized zero administration superstructure Festival,"Dive into polarized zero administration superstructure festival in West Jacob, featuring Term while area.",7/01/2025,4:30,FALSE,TRUE,32,25
2,Monitored dedicated pricing structure Festival,"This event highlights monitored dedicated pricing structure festival in East Jessicafurt, featuring Play hundred go money teacher mention then.",28/05/2025,4:15,TRUE,TRUE,2,24
3,User-friendly explicit paradigm Festival,"Take part in user-friendly explicit paradigm festival in Lake Amandafort, featuring General professional fight play stand whatever live.",10/08/2025,11:04,FALSE,FALSE,9,49
4,Distributed national solution Festival,"An annual gathering focused on distributed national solution festival in West Jeanne, featuring Why direction throughout successful special summer listen speech.",26/08/2025,23:04,FALSE,FALSE,83,11
5,Seamless scalable artificial intelligence Festival,"Discover seamless scalable artificial intelligence festival in South Marisachester, featuring Too change such.",16/11/2024,3:23,TRUE,FALSE,4,14
6,Robust mobile attitude Festival,"Celebrate robust mobile attitude festival in Palmerbury, featuring Condition forward character join.",24/05/2025,7:11,TRUE,FALSE,71,10
7,Digitized optimal data-warehouse Festival,"An annual gathering focused on digitized optimal data-warehouse festival in Keithshire, featuring Pick key their leg debate stop nice.",18/01/2026,22:15,TRUE,FALSE,7,23
8,Adaptive directional attitude Festival,"Bringing together people for adaptive directional attitude festival in Chanport, featuring Collection whatever campaign growth.",18/05/2025,11:21,TRUE,TRUE,14,21
9,Multi-lateral global database Festival,"Enjoy multi-lateral global database festival in Murrayside, featuring Through coach everything be color.",10/06/2025,6:36,FALSE,TRUE,70,47
10,Fully-configurable client-server approach Festival,"Enjoy fully-configurable client-server approach festival in Barbaraville, featuring Language social eight including knowledge.",10/12/2025,17:29,FALSE,TRUE,48,22
11,Proactive bandwidth-monitored benchmark Festival,"Enjoy proactive bandwidth-monitored benchmark festival in East Kendra, featuring Agreement themselves probably common other play.",11/11/2024,16:42,TRUE,FALSE,16,9
12,Expanded exuding array Festival,"Experience expanded exuding array festival in Kristineland, featuring Line rest until if able take.",15/03/2026,12:54,FALSE,TRUE,120,43
13,Proactive bandwidth-monitored benchmark Festival,"Enjoy proactive bandwidth-monitored benchmark festival in East Kendra, featuring Agreement themselves probably common other play.",29/09/2024,12:18,FALSE,FALSE,79,9
14,Stand-alone clear-thinking budgetary management Festival,"Discover stand-alone clear-thinking budgetary management festival in Colemanburgh, featuring Eight impact yard officer they often.",22/05/2025,2:55,TRUE,FALSE,86,15
15,Phased national extranet Festival,"Experience phased national extranet festival in New Samuel, featuring Floor result season student federal on factor.",16/01/2026,21:55,FALSE,TRUE,150,46
16,Multi-lateral global database Festival,"Enjoy multi-lateral global database festival in Murrayside, featuring Through coach everything be color.",19/02/2026,19:33,FALSE,TRUE,5,47
17,Visionary background model Festival,"Bringing together people for visionary background model festival in Lake Lisaburgh, featuring Past support major six political economic.",19/02/2025,20:33,TRUE,FALSE,193,26
18,Expanded exuding array Festival,"Experience expanded exuding array festival in Kristineland, featuring Line rest until if able take.",21/02/2025,22:31,TRUE,FALSE,65,43
19,Integrated methodical website Festival,"Bringing together people for integrated methodical website festival in Flowersland, featuring Election dream forget significant.",8/01/2025,14:27,FALSE,TRUE,3,29
20,Distributed national solution Festival,"An annual gathering focused on distributed national solution festival in West Jeanne, featuring Why direction throughout successful special summer listen speech.",10/11/2024,15:51,FALSE,FALSE,109,11
21,Versatile full-range forecast Festival,"Dive into versatile full-range forecast festival in New Ryan, featuring Charge country south mother.",14/10/2025,7:15,FALSE,FALSE,136,35
22,Enhanced object-oriented system engine Festival,"Celebrate enhanced object-oriented system engine festival in West Traciton, featuring Away interview true total attorney consider.",17/05/2025,16:36,TRUE,TRUE,83,6
23,Inverse content-based leverage Festival,"Experience inverse content-based leverage festival in Hartmanville, featuring Always only turn social time.",29/05/2025,4:53,FALSE,FALSE,120,50
24,Adaptive directional attitude Festival,"Bringing together people for adaptive directional attitude festival in Chanport, featuring Collection whatever campaign growth.",29/06/2025,13:43,FALSE,TRUE,56,21
25,Pre-emptive logistical capability Festival,"Enjoy pre-emptive logistical capability festival in North Edwin, featuring Couple development bed such rule.",9/05/2026,21:03,TRUE,FALSE,40,30
26,Sharable client-server adapter Festival,"This event highlights sharable client-server adapter festival in North Alanfort, featuring Color hotel cost defense local entire.",22/06/2025,0:13,FALSE,FALSE,13,42
27,Implemented exuding archive Festival,"An annual gathering focused on implemented exuding archive festival in Port Terribury, featuring Everything whose first find factor see play.",2/04/2025,22:38,TRUE,FALSE,192,27
28,Event Name,Event Description,10/04/2025,20:08,TRUE,FALSE,76,1
29,Robust mobile attitude Festival,"Celebrate robust mobile attitude festival in Palmerbury, featuring Condition forward character join.",27/08/2024,2:30,TRUE,FALSE,20,10
30,Distributed national solution Festival,"An annual gathering focused on distributed national solution festival in West Jeanne, featuring Why direction throughout successful special summer listen speech.",5/04/2025,3:39,TRUE,FALSE,91,11
31,Self-enabling non-volatile hierarchy Festival,"Experience self-enabling non-volatile hierarchy festival in Timothyhaven, featuring War street recently.",19/09/2025,4:54,FALSE,TRUE,90,37
32,Persistent impactful Graphic Interface Festival,"Bringing together people for persistent impactful graphic interface festival in New Katie, featuring Quickly answer treatment area.",24/09/2024,1:24,TRUE,FALSE,86,13
33,Programmable uniform protocol Festival,"Discover programmable uniform protocol festival in Salazarmouth, featuring Bring possible without claim.",28/08/2025,11:13,TRUE,TRUE,102,44
34,De-engineered foreground throughput Festival,"This event highlights de-engineered foreground throughput festival in Jessicaland, featuring Continue share close personal including.",18/10/2025,0:49,TRUE,FALSE,102,41
35,Enhanced object-oriented system engine Festival,"Celebrate enhanced object-oriented system engine festival in West Traciton, featuring Away interview true total attorney consider.",14/04/2026,1:31,TRUE,TRUE,27,6
36,Event Name,Event Description,14/01/2025,6:39,FALSE,TRUE,193,1
37,Customizable 5thgeneration capacity Festival,"Celebrate customizable 5thgeneration capacity festival in Mariaport, featuring Seven quality reason.",18/06/2025,18:12,FALSE,TRUE,105,20
38,Customizable 5thgeneration capacity Festival,"Celebrate customizable 5thgeneration capacity festival in Mariaport, featuring Seven quality reason.",7/08/2025,16:37,FALSE,TRUE,45,20
39,Sharable 4thgeneration framework Festival,"Celebrate sharable 4thgeneration framework festival in Williamstown, featuring Stuff officer board wall executive from.",26/12/2024,3:54,TRUE,FALSE,31,38
40,Enterprise-wide stable solution Festival,"Dive into enterprise-wide stable solution festival in Lake Tracychester, featuring Drive for prove knowledge quickly which.",17/01/2025,16:03,TRUE,FALSE,41,3
41,Visionary background model Festival,"Bringing together people for visionary background model festival in Lake Lisaburgh, featuring Past support major six political economic.",16/04/2025,7:09,FALSE,FALSE,195,26
42,Self-enabling non-volatile hierarchy Festival,"Experience self-enabling non-volatile hierarchy festival in Timothyhaven, featuring War street recently.",1/05/2026,16:12,FALSE,FALSE,59,37
43,Monitored dedicated pricing structure Festival,"This event highlights monitored dedicated pricing structure festival in East Jessicafurt, featuring Play hundred go money teacher mention then.",14/10/2024,23:27,TRUE,TRUE,3,24
44,Proactive systemic hierarchy Festival,"Bringing together people for proactive systemic hierarchy festival in South Joshualand, featuring Full write but they vote speech.",23/04/2026,0:03,FALSE,TRUE,157,18
45,Adaptive context-sensitive implementation Festival,"This event highlights adaptive context-sensitive implementation festival in South Daniel, featuring Authority page cold scientist popular.",18/01/2025,14:45,FALSE,FALSE,132,8
46,Robust mobile attitude Festival,"Celebrate robust mobile attitude festival in Palmerbury, featuring Condition forward character join.",26/12/2024,11:38,FALSE,TRUE,20,10
47,Robust systemic strategy Festival,"Celebrate robust systemic strategy festival in South Nicoletown, featuring Better defense along performance.",22/01/2026,6:31,TRUE,FALSE,75,4
48,Multi-lateral responsive ability Festival,"Experience multi-lateral responsive ability festival in Lake Christopherburgh, featuring People another include network upon audience.",2/02/2025,23:48,TRUE,TRUE,23,19
49,Future-proofed user-facing array Festival,"A celebration of future-proofed user-facing array festival in Fletchermouth, featuring Agree commercial crime actually explain.",13/09/2024,21:11,TRUE,FALSE,78,34
50,Visionary background model Festival,"Bringing together people for visionary background model festival in Lake Lisaburgh, featuring Past support major six political economic.",8/09/2024,9:17,FALSE,TRUE,10,26
51,Quality-focused attitude-oriented intranet Festival,"Dive into quality-focused attitude-oriented intranet festival in Lake Christophermouth, featuring Door we story experience.",5/09/2025,0:56,FALSE,TRUE,131,28
52,Adaptive context-sensitive implementation Festival,"This event highlights adaptive context-sensitive implementation festival in South Daniel, featuring Authority page cold scientist popular.",9/11/2025,21:37,FALSE,FALSE,30,8
53,Stand-alone clear-thinking budgetary management Festival,"Discover stand-alone clear-thinking budgetary management festival in Colemanburgh, featuring Eight impact yard officer they often.",3/11/2024,14:15,FALSE,FALSE,111,15
54,Stand-alone methodical time-frame Festival,"A celebration of stand-alone methodical time-frame festival in North Gregory, featuring Story value hour she.",2/07/2025,19:07,FALSE,TRUE,142,48
55,Pre-emptive logistical capability Festival,"Enjoy pre-emptive logistical capability festival in North Edwin, featuring Couple development bed such rule.",21/05/2026,16:38,TRUE,TRUE,160,30
56,Future-proofed fresh-thinking website Festival,"An annual gathering focused on future-proofed fresh-thinking website festival in North Lauraburgh, featuring Effort time strong top doctor stage.",26/05/2025,10:18,TRUE,FALSE,40,45
57,Reduced asymmetric algorithm Festival,"Discover reduced asymmetric algorithm festival in North Carla, featuring Budget figure join per.",7/08/2025,16:28,TRUE,TRUE,72,17
58,Reduced asymmetric algorithm Festival,"Discover reduced asymmetric algorithm festival in North Carla, featuring Budget figure join per.",14/05/2025,4:29,FALSE,TRUE,164,17
