community_ID,community_Name,community_Description,creator_ID,,mock event name,mock event description
1,Community Name,Description,10,,Event Name,Event Description
2,Dog Lovers United,A friendly club for pet owners who enjoy dog-friendly activities.,94,,Multi-channeled mission-critical workforce Festival,"Take part in multi-channeled mission-critical workforce festival in Port Mary, featuring Case interesting might become action."
3,Midnight Gamers Guild,A late-night community for online and tabletop gaming fans.,16,,Enterprise-wide stable solution Festival,"Dive into enterprise-wide stable solution festival in Lake Tracychester, featuring Drive for prove knowledge quickly which."
4,City Garden Collective,Urban dwellers passionate about rooftop gardens and green living.,9,,Robust systemic strategy Festival,"Celebrate robust systemic strategy festival in South Nicoletown, featuring Better defense along performance."
5,Jazz Appreciation Society,"For people who love jazz music, records, and live performances.",16,,Diverse uniform interface Festival,"A celebration of diverse uniform interface festival in South Regina, featuring Voice ok price mouth attack."
6,Weekend Hikers Club,A group organising hikes and nature exploration trips every weekend.,21,,Enhanced object-oriented system engine Festival,"Celebrate enhanced object-oriented system engine festival in West Traciton, featuring Away interview true total attorney consider."
7,Street Food Alliance,"Foodies who explore night markets, food trucks, and hidden eateries.",34,,Fundamental composite knowledgebase Festival,"Take part in fundamental composite knowledgebase festival in Gardnerland, featuring Question democratic which environment want society."
8,Vintage Film Circle,Fans of classic films who meet to watch and discuss cinema history.,60,,Adaptive context-sensitive implementation Festival,"This event highlights adaptive context-sensitive implementation festival in South Daniel, featuring Authority page cold scientist popular."
9,Writers’ Workshop Hub,"Creative writers sharing drafts, feedback, and inspiration.",38,,Proactive bandwidth-monitored benchmark Festival,"Enjoy proactive bandwidth-monitored benchmark festival in East Kendra, featuring Agreement themselves probably common other play."
10,Craft Beer Crew,Beer enthusiasts who explore breweries and share tasting notes.,3,,Robust mobile attitude Festival,"Celebrate robust mobile attitude festival in Palmerbury, featuring Condition forward character join."
11,Photography Collective,For hobbyists and professionals capturing the world through a lens.,75,,Distributed national solution Festival,"An annual gathering focused on distributed national solution festival in West Jeanne, featuring Why direction throughout successful special summer listen speech."
12,Navarro Ltd in Tonyborough,A community based in Tonyborough centred on education see.,6,,Enhanced bandwidth-monitored groupware Festival,"Take part in enhanced bandwidth-monitored groupware festival in Gregorybury, featuring Church market ball no forward spring."
13,Multi-channeled content-based knowledgebase in Dukebury,A community based in Dukebury centred on program hotel total study.,90,,Persistent impactful Graphic Interface Festival,"Bringing together people for persistent impactful graphic interface festival in New Katie, featuring Quickly answer treatment area."
14,"Davidson, Garcia and Thomas in Keithview",A community based in Keithview centred on eight result.,58,,Seamless scalable artificial intelligence Festival,"Discover seamless scalable artificial intelligence festival in South Marisachester, featuring Too change such."
15,Innovative even-keeled conglomeration in Freemanland,A community based in Freemanland centred on necessary model.,38,,Stand-alone clear-thinking budgetary management Festival,"Discover stand-alone clear-thinking budgetary management festival in Colemanburgh, featuring Eight impact yard officer they often."
16,"Moody, Richards and Hebert in East Vanessatown",A community based in East Vanessatown centred on body power situation.,15,,Phased executive complexity Festival,"This event highlights phased executive complexity festival in Mooretown, featuring Share value onto."
17,Reverse-engineered contextually-based structure in Port Joshua,A community based in Port Joshua centred on serve not true.,57,,Reduced asymmetric algorithm Festival,"Discover reduced asymmetric algorithm festival in North Carla, featuring Budget figure join per."
18,Foster-Adkins in South Kimberly,A community based in South Kimberly centred on eye contain skill.,16,,Proactive systemic hierarchy Festival,"Bringing together people for proactive systemic hierarchy festival in South Joshualand, featuring Full write but they vote speech."
19,Persevering heuristic workforce in West Gary,A community based in West Gary centred on tv act.,90,,Multi-lateral responsive ability Festival,"Experience multi-lateral responsive ability festival in Lake Christopherburgh, featuring People another include network upon audience."
20,Bowman and Sons in Millerton,A community based in Millerton centred on production probably.,63,,Customizable 5thgeneration capacity Festival,"Celebrate customizable 5thgeneration capacity festival in Mariaport, featuring Seven quality reason."
21,Profit-focused didactic matrix in Lake Melissatown,A community based in Lake Melissatown centred on price cultural have.,23,,Adaptive directional attitude Festival,"Bringing together people for adaptive directional attitude festival in Chanport, featuring Collection whatever campaign growth."
22,Richardson-Mullins in New Melanie,A community based in New Melanie centred on food.,28,,Fully-configurable client-server approach Festival,"Enjoy fully-configurable client-server approach festival in Barbaraville, featuring Language social eight including knowledge."
23,Exclusive systematic concept in New Nicholasborough,A community based in New Nicholasborough centred on important offer shoulder investment.,60,,Digitized optimal data-warehouse Festival,"An annual gathering focused on digitized optimal data-warehouse festival in Keithshire, featuring Pick key their leg debate stop nice."
24,"Davis, Washington and Davis in North Brittneyburgh",A community based in North Brittneyburgh centred on language small phone.,89,,Monitored dedicated pricing structure Festival,"This event highlights monitored dedicated pricing structure festival in East Jessicafurt, featuring Play hundred go money teacher mention then."
25,Multi-layered fault-tolerant software in Port Kevintown,A community based in Port Kevintown centred on vote board.,74,,Polarized zero administration superstructure Festival,"Dive into polarized zero administration superstructure festival in West Jacob, featuring Term while area."
26,"Mcfarland, Tucker and Wolfe in Danielleland",A community based in Danielleland centred on determine everybody.,98,,Visionary background model Festival,"Bringing together people for visionary background model festival in Lake Lisaburgh, featuring Past support major six political economic."
27,Inverse zero-defect orchestration in Zacharyton,A community based in Zacharyton centred on thank consider three.,87,,Implemented exuding archive Festival,"An annual gathering focused on implemented exuding archive festival in Port Terribury, featuring Everything whose first find factor see play."
28,Love-Dawson in East Justin,A community based in East Justin centred on bank probably house.,85,,Quality-focused attitude-oriented intranet Festival,"Dive into quality-focused attitude-oriented intranet festival in Lake Christophermouth, featuring Door we story experience."
29,Decentralized static data-warehouse in Jonesview,A community based in Jonesview centred on fire create.,32,,Integrated methodical website Festival,"Bringing together people for integrated methodical website festival in Flowersland, featuring Election dream forget significant."
30,Cherry PLC in North Kelly,A community based in North Kelly centred on show language along hair.,93,,Pre-emptive logistical capability Festival,"Enjoy pre-emptive logistical capability festival in North Edwin, featuring Couple development bed such rule."
31,Reduced bi-directional open architecture in South Michael,A community based in South Michael centred on where when.,22,,Reactive grid-enabled analyzer Festival,"Celebrate reactive grid-enabled analyzer festival in Lake Haleyhaven, featuring Instead option administration oil second produce."
32,"Silva, Schultz and Fox in Jillborough",A community based in Jillborough centred on environmental control modern various.,77,,Mandatory client-server forecast Festival,"Bringing together people for mandatory client-server forecast festival in Katherineview, featuring Character likely stand little easy level everybody design."
33,Integrated exuding adapter in East Heatherfurt,A community based in East Heatherfurt centred on state.,95,,Total uniform software Festival,"Celebrate total uniform software festival in Lake Timothy, featuring Any him finish character."
34,"Turner, Sullivan and Hernandez in Mathewfort",A community based in Mathewfort centred on real travel figure.,45,,Future-proofed user-facing array Festival,"A celebration of future-proofed user-facing array festival in Fletchermouth, featuring Agree commercial crime actually explain."
35,Upgradable even-keeled definition in East Loritown,A community based in East Loritown centred on church region.,38,,Versatile full-range forecast Festival,"Dive into versatile full-range forecast festival in New Ryan, featuring Charge country south mother."
36,Montgomery Ltd in West Brian,A community based in West Brian centred on music budget use.,39,,Devolved background definition Festival,"Bringing together people for devolved background definition festival in East Teresaborough, featuring Certainly one father suddenly difficult return."
37,Customer-focused actuating groupware in Port Donna,A community based in Port Donna centred on story point yet market.,2,,Self-enabling non-volatile hierarchy Festival,"Experience self-enabling non-volatile hierarchy festival in Timothyhaven, featuring War street recently."
